"","Gene","Module"
"499","ACTG1P20","blue"
"500","SYTL1","brown"
"501","MAP3K6","blue"
"502","FCN3","turquoise"
"503","CD164L2","turquoise"
"504","GPR3","pink"
"505","WASF2","green"
"506","AHDC1","brown"
"507","FGR","magenta"
"508","IFI6","grey60"
"509","FAM76A","yellow"
"510","STX12","brown"
"511","PPP1R8","grey"
"512","SCARNA1","blue"
"513","THEMIS2","black"
"514","RPA2","blue"
"515","SMPDL3B","turquoise"
"516","XKR8","pink"
"517","EYA3","brown"
"518","PTAFR","yellow"
"519","DNAJC8","turquoise"
"520","ATP5IF1","red"
"521","SESN2","yellow"
"522","MED18","grey"
"523","PHACTR4","turquoise"
"524","RCC1","yellow"
"525","SNHG3","blue"
"526","SNORA73A","green"
"527","SNORA73B","turquoise"
"528","TRNAU1AP","turquoise"
"529","SNHG12","blue"
"530","SNORD99","yellow"
"531","SNORA61","blue"
"532","SNORA44","blue"
"533","SNORA16A","blue"
"534","RAB42","grey"
"535","TAF12","blue"
"536","GMEB1","blue"
"537","YTHDF2","green"
"538","OPRD1","turquoise"
"539","EPB41","purple"
"540","TMEM200B","turquoise"
"541","SRSF4","brown"
"542","MECR","turquoise"
"543","PTPRU","blue"
"544","MATN1","turquoise"
"545","MATN1-AS1","brown"
"546","LAPTM5","green"
"547","LOC105378620","cyan"
"548","SDC3","purple"
"549","PUM1","turquoise"
"550","SNORD103A","blue"
"551","SNORD103B","blue"
"552","NKAIN1","black"
"553","SNRNP40","blue"
"554","ZCCHC17","grey"
"555","FABP3","turquoise"
"556","SERINC2","red"
"557","LDC1P","green"
"558","LOC105378626","grey"
"559","TINAGL1","yellow"
"560","HCRTR1","blue"
"561","PEF1","blue"
"562","PEF1-AS1","brown"
"563","COL16A1","blue"
"564","LOC101929444","brown"
"565","ADGRB2","black"
"566","SPOCD1","turquoise"
"567","PTP4A2","green"
"568","KHDRBS1","turquoise"
"569","TMEM39B","turquoise"
"570","KPNA6","brown"
"571","TXLNA","green"
"572","CCDC28B","brown"
"573","TMEM234","brown"
"574","IQCC","blue"
"575","DCDC2B","brown"
"576","EIF3I","blue"
"577","MTMR9LP","turquoise"
"578","FAM167B","turquoise"
"579","LCK","magenta"
"580","HDAC1","blue"
"581","MARCKSL1","green"
"582","TSSK3","brown"
"583","FAM229A","brown"
"584","BSDC1","blue"
"585","ZBTB8B","turquoise"
"586","ZBTB8A","green"
"587","ZBTB8OS","purple"
"588","RBBP4","turquoise"
"589","SYNC","turquoise"
"590","NHSL3","turquoise"
"591","YARS1","blue"
"592","S100PBP","blue"
"593","FNDC5","turquoise"
"594","HPCA","blue"
"595","TMEM54","blue"
"596","RNF19B","grey"
"597","AK2","grey"
"598","AZIN2","turquoise"
"599","112268224","blue"
"600","TRIM62","brown"
"601","ZNF362","green"
"602","A3GALT2","turquoise"
"603","PHC2","blue"
"604","MIR3605","green"
"605","ZSCAN20","turquoise"
"606","CSMD2","turquoise"
"607","HMGB4","turquoise"
"608","C1orf94","turquoise"
"609","LOC105378642","turquoise"
"610","GJB5","grey"
"611","GJB4","turquoise"
"612","GJB3","grey"
"613","GJA4","yellow"
"614","SMIM12","blue"
"615","DLGAP3","pink"
"616","GPR199P","grey"
"617","TMEM35B","blue"
"618","ZMYM6","blue"
"619","ZMYM1","brown"
"620","SFPQ","green"
"621","ZMYM4","grey"
"622","ZMYM4-AS1","grey"
"623","KIAA0319L","brown"
"624","NCDN","blue"
"625","TFAP2E","brown"
"626","TFAP2E-AS1","blue"
"627","PSMB2","green"
"628","C1orf216","blue"
"629","CLSPN","blue"
"630","AGO4","grey"
"631","AGO1","grey"
"632","AGO3","blue"
"633","TEKT2","turquoise"
"634","ADPRS","turquoise"
"635","COL8A2","blue"
"636","TRAPPC3","blue"
"637","MAP7D1","blue"
"638","THRAP3","green"
"639","SH3D21","black"
"640","EVA1B","brown"
"641","STK40","blue"
"642","LSM10","grey"
"643","OSCP1","black"
"644","MRPS15","yellow"
"645","CSF3R","brown"
"646","GRIK3","black"
"647","LITATS1","turquoise"
"648","ZC3H12A","brown"
"649","MIR6732","brown"
"650","MEAF6","grey"
"651","SNIP1","brown"
"652","DNALI1","black"
"653","GNL2","blue"
"654","RSPO1","blue"
"655","AIRIM","grey"
"656","CDCA8","blue"
"657","EPHA10","turquoise"
"658","MANEAL","grey"
"659","YRDC","yellow"
"660","C1orf122","grey"
"661","MTF1","pink"
"662","INPP5B","grey"
"663","LOC105378651","yellow"
"664","SF3A3","yellow"
"665","FHL3","blue"
"666","UTP11","grey"
"667","POU3F1","pink"
"668","LOC105378654","turquoise"
"669","LINC01343","turquoise"
"670","RRAGC","brown"
"671","GJA9-MYCBP","blue"
"672","MYCBP","blue"
"673","GJA9","blue"
"674","RHBDL2","blue"
"675","LOC105378662","grey"
"676","AKIRIN1","pink"
"677","NDUFS5","yellow"
"678","MACF1","turquoise"
"679","643314","green"
"680","BMP8A","blue"
"681","OXCT2P1","pink"
"682","PPIEL","blue"
"683","PABPC4","turquoise"
"684","PABPC4-AS1","turquoise"
"685","SNORA55","blue"
"686","HEYL","yellow"
"687","NT5C1A","turquoise"
"688","HPCAL4","turquoise"
"689","PPIE","blue"
"690","BMP8B","pink"
"691","OXCT2","turquoise"
"692","TRIT1","blue"
"693","MYCL","yellow"
"694","MYCL-AS1","grey"
"695","MFSD2A","blue"
"696","CAP1","green"
"697","PPT1","grey"
"698","RLF","turquoise"
"699","TMCO2","green"
"700","ZMPSTE24","brown"
"701","COL9A2","turquoise"
"702","SMAP2","turquoise"
"703","ZFP69B","blue"
"704","ZFP69","blue"
"705","EXO5-DT","blue"
"706","EXO5","turquoise"
"707","ZNF684","green"
"708","RIMS3","midnightblue"
"709","NFYC-AS1","turquoise"
"710","NFYC","blue"
"711","MIR30E","blue"
"712","KCNQ4","turquoise"
"713","CITED4","turquoise"
"714","CTPS1","blue"
"715","SLFNL1-AS1","yellow"
"716","SLFNL1","yellow"
"717","SCMH1","grey"
"718","FOXO6","brown"
"719","FOXO6-AS1","brown"
"720","LOC105378678","turquoise"
"721","EDN2","turquoise"
"722","HIVEP3","brown"
"723","GUCA2B","turquoise"
"724","GUCA2A","turquoise"
"725","FOXJ3","turquoise"
"726","RIMKLA","turquoise"
"727","ZMYND12","turquoise"
"728","CCDC30","blue"
"729","PPCS","turquoise"
"730","PPIH","blue"
"731","YBX1","green"
"732","CLDN19","yellow"
"733","P3H1","grey"
"734","C1orf50","grey"
"735","TMEM269","blue"
"736","SVBP","grey"
"737","ERMAP","turquoise"
"738","ZNF691","purple"
"739","LOC339539","turquoise"
"740","SLC2A1","blue"
"741","SLC2A1-DT","grey"
"742","CFAP144","blue"
"743","EBNA1BP2","yellow"
"744","CFAP57","turquoise"
"745","LOC105378685","turquoise"
"746","TMEM125","brown"
"747","C1orf210","turquoise"
"748","TIE1","yellow"
"749","MPL","turquoise"
"750","CDC20-DT","grey"
"751","CDC20","blue"
"752","ELOVL1","blue"
"753","MIR6734","blue"
"754","LOC112268225","blue"
"755","MED8","turquoise"
"756","MED8-AS1","turquoise"
"757","SZT2","grey"
"758","SZT2-AS1","brown"
"759","HYI","brown"
"760","PTPRF","green"
"761","KDM4A","turquoise"
"762","KDM4A-AS1","turquoise"
"763","ST3GAL3","turquoise"
"764","ARTN","brown"
"765","LINC02918","grey"
"766","LOC101929609","grey"
"767","IPO13","grey"
"768","DPH2","yellow"
"769","ATP6V0B","yellow"
"770","B4GALT2","grey"
"771","CCDC24","brown"
"772","SLC6A9","yellow"
"773","KLF17","turquoise"
"774","DMAP1","brown"
"775","ERI3","grey"
"776","ERI3-IT1","blue"
"777","RNF220","blue"
"778","LOC107984950","blue"
"779","TMEM53","blue"
"780","ARMH1","blue"
"781","LOC105378690","brown"
"782","KIF2C","blue"
"783","RPS8","green"
"784","SNORD55","turquoise"
"785","SNORD46","blue"
"786","SNORD38A","blue"
"787","SNORD38B","blue"
"788","BEST4","brown"
"789","PLK3","blue"
"790","DYNLT4","grey"
"791","BTBD19","brown"
"792","LOC107984952","blue"
"793","PTCH2","grey"
"794","EIF2B3","brown"
"795","HECTD3","blue"
"796","UROD","blue"
"797","ZSWIM5","black"
"798","LOC105378691","turquoise"
"799","LINC01144","turquoise"
"800","HPDL","greenyellow"
"801","MUTYH","brown"
"802","TOE1","grey"
"803","TESK2","greenyellow"
"804","CCDC163","turquoise"
"805","MMACHC","blue"
"806","PRDX1","yellow"
"807","AKR1A1","green"
"808","NASP","blue"
"809","CCDC17","brown"
"810","GPBP1L1","turquoise"
"811","RPS15AP10","blue"
"812","TMEM69","blue"
"813","IPP","brown"
"814","MAST2","brown"
"815","LOC105378694","blue"
"816","P3R3URF-PIK3R3","turquoise"
"817","PIK3R3","grey"
"818","TSPAN1","greenyellow"
"819","P3R3URF","turquoise"
"820","POMGNT1","blue"
"821","LURAP1","yellow"
"822","RAD54L","blue"
"823","LRRC41","grey"
"824","UQCRH","yellow"
"825","NSUN4","grey"
"826","FAAH","brown"
"827","FAAHP1","turquoise"
"828","DMBX1","turquoise"
"829","MKNK1-AS1","grey"
"830","KNCN","turquoise"
"831","MKNK1","grey"
"832","MOB3C","blue"
"833","ATPAF1","brown"
"834","TEX38","grey"
"835","EFCAB14-AS1","turquoise"
"836","EFCAB14","brown"
"837","CYP4B1","blue"
"838","CYP4Z2P","greenyellow"
"839","CYP4A11","turquoise"
"840","CYP4X1","blue"
"841","CYP4Z1","greenyellow"
"842","CYP4A22","turquoise"
"843","CYP4A22-AS1","turquoise"
"844","PDZK1IP1","blue"
"845","TAL1","yellow"
"846","STIL","blue"
"847","CMPK1","brown"
"848","LINC01389","blue"
"849","FOXE3","pink"
"850","FOXD2-AS1","turquoise"
"851","FOXD2","pink"
"852","TRABD2B","yellow"
"853","SLC5A9","grey"
"854","SPATA6","blue"
"855","AGBL4","turquoise"
"856","BEND5","turquoise"
"857","ELAVL4","turquoise"
"858","DMRTA2","blue"
"859","FAF1","blue"
"860","FAF1-AS1","blue"
"861","112268262","purple"
"862","CDKN2C","blue"
"863","C1orf185","turquoise"
"864","RNF11","green"
"865","TTC39A","black"
"866","105378717","brown"
"867","TTC39A-AS1","black"
"868","EPS15","brown"
"869","OSBPL9","brown"
"870","NRDC","turquoise"
"871","105378721","turquoise"
"872","MIR761","blue"
"873","RAB3B","turquoise"
"874","TXNDC12","grey"
"875","KTI12","grey"
"876","BTF3L4","brown"
"877","ZFYVE9","brown"
"878","CC2D1B","yellow"
"879","ORC1","blue"
"880","PRPF38A","pink"
"881","TUT4","blue"
"882","LOC105378723","blue"
"883","GPX7","black"
"884","SHISAL2A","magenta"
"885","COA7","blue"
"886","ZYG11B","brown"
"887","ZYG11A","blue"
"888","ECHDC2","brown"
"889","SCP2","brown"
"890","PODN","purple"
"891","SLC1A7","yellow"
"892","CPT2","brown"
"893","CZIB","turquoise"
"894","MAGOH","blue"
"895","MAGOH-DT","blue"
"896","LRP8","blue"
"897","LOC105378728","blue"
"898","LOC105378726","blue"
"899","DMRTB1","turquoise"
"900","GLIS1","turquoise"
"901","NDC1","blue"
"902","YIPF1","turquoise"
"903","DIO1","blue"
"904","IFT25","blue"
"905","LRRC42","blue"
"906","LDLRAD1","turquoise"
"907","TMEM59","blue"
"908","TCEANC2","turquoise"
"909","CDCP2","turquoise"
"910","CYB5RL","grey"
"911","MRPL37","turquoise"
"912","SSBP3","grey"
"913","SSBP3-AS1","blue"
"914","ACOT11","grey"
"915","FAM151A","turquoise"
"916","MROH7-TTC4","blue"
"917","MROH7","grey"
"918","TTC4","blue"
"919","PARS2","grey"
"920","TTC22","greenyellow"
"921","CIMAP2","turquoise"
"922","DHCR24","grey"
"923","DHCR24-DT","turquoise"
"924","TMEM61","turquoise"
"925","BSND","turquoise"
"926","PCSK9","turquoise"
"927","USP24","blue"
"928","PLPP3","yellow"
"929","PRKAA2","grey"
"930","FYB2","black"
"931","C8A","turquoise"
"932","C8B","turquoise"
"933","DAB1","turquoise"
"934","LOC107984960","blue"
"935","OMA1","blue"
"936","TACSTD2","turquoise"
"937","MYSM1","blue"
"938","LOC105378751","turquoise"
"939","JUN","blue"
"940","JUN-DT","turquoise"
"941","LOC101926907","blue"
"942","LINC02777","turquoise"
"943","FGGY-DT","turquoise"
"944","FGGY","brown"
